step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
77,0.023765432098765433,67424,24.842978292023396,0.0012731170643179711,0.5363546662610671,156.86195490616555,32.08588695526123,0.05473330310375458
78,0.024074074074074074,68396,24.50915900881856,0.0012722674269607897,0.5359967204178087,164.52553184893796,28.344330072402954,0.06333243829509222
79,0.024382716049382715,69386,23.56751172978104,0.0012771238523251198,0.5380426959832233,173.5350921412745,32.41357707977295,0.06417357559125801
80,0.024691358024691357,70356,22.27645667450308,0.0012855311070792512,0.5415846093266279,182.60544514649584,32.06594800949097,0.07336045922535366
81,0.025,71322,22.865834873224937,0.0012701896815270808,0.5351213818571167,189.2965856767866,33.38088798522949,0.06745207748452178
82,0.025308641975308643,72299,24.345984192992894,0.001263471005397443,0.532290854017826,191.33067986866456,35.15301585197449,0.05281169027383216
83,0.025617283950617284,73263,23.46035063085983,0.0012466194934626657,0.525191438486377,187.63895831662794,43.816065073013306,0.05032876670256867
84,0.025925925925925925,74239,21.738168062920856,0.0012398235249615028,0.5223283479509322,179.57721693737565,25.17383909225464,0.0535896149796638
85,0.026234567901234566,75219,22.609641462252704,0.0012428546573011404,0.5236053412612767,173.13543928659362,25.820721864700317,0.06665472254503893
86,0.02654320987654321,76201,21.74169834220171,0.0012340175556982504,0.5198823366658805,177.75552113350466,28.80329704284668,0.06284661857408384
87,0.026851851851851852,77186,20.693376851226198,0.0012094063245899492,0.5095138096723014,178.4456215692673,27.447367906570435,0.05721947587667972
88,0.027160493827160494,78176,19.75194400485021,0.001186918292941819,0.500039770679695,178.91743831643603,27.366767168045044,0.05864928495391152
89,0.027469135802469135,79149,21.88585025801652,0.0011688280127969592,0.49241847139653483,214.59669079736727,29.26708698272705,0.061960733895931215
90,0.027777777777777776,80132,21.873843275252387,0.0011541921787480648,0.4862525043328913,249.60250748088168,35.5132839679718,0.0639548252271207
91,0.02808641975308642,81096,21.187579106045163,0.0011328537822166494,0.47726279798857735,283.8076093036454,35.192018032073975,0.05916033555279307
92,0.028395061728395062,82066,23.98233725174816,0.001122427170653204,0.4728701447738147,322.5099003554677,34.648128032684326,0.05436419616912049
93,0.028703703703703703,83025,19.416086014170553,0.0011186792430866953,0.47129117101291995,365.8134336080881,34.953852891922,0.06164043671506588
94,0.029012345679012345,83999,23.41341844053035,0.0011013370896887122,0.4639850519145899,409.839063456966,46.71449899673462,0.07402705876454377
95,0.029320987654320986,84950,21.48240597923492,0.0010241373536561777,0.4314613823984998,454.4777549570132,34.01760911941528,0.0674439245068777
96,0.02962962962962963,85934,22.136433977594116,0.0009596866108525912,0.4043087680666713,503.46376626820927,44.815266847610474,0.06629227789342745
97,0.029938271604938272,86903,20.925966485590173,0.0009259573512912947,0.3900988841037039,561.2055297733149,43.038350105285645,0.06556478101230677
98,0.030246913580246913,87875,20.755477206945013,0.0009175946009361646,0.38657572012965624,625.4946868736431,48.442253828048706,0.06485301963857082
99,0.030555555555555555,88870,20.715926726836035,0.0009279247523101279,0.3909277353903869,694.18188309438,52.073894023895264,0.06665291095090009
100,0.030864197530864196,89865,18.937962861097258,0.000948508139071659,0.39959936178392497,764.0448285682363,52.66001105308533,0.07015788229509215
101,0.03117283950617284,90855,20.03701289428874,0.000973069889632111,0.40994704299397633,786.2302104934035,51.28887414932251,0.06271950892171972
102,0.03148148148148148,91840,20.71744514255617,0.0009968615718078378,0.41997030017181286,766.69155983656,52.201841831207275,0.05804187625567312
