cos_theta,P_num,P_exact,rel_err,is_cap
2.500480e-02,-1.705255e-01,-1.671334e-01,3.061141e-03,0
3.774332e-02,-1.623146e-01,-1.546021e-01,6.959898e-03,0
8.680081e-02,-1.070190e-01,-1.052982e-01,1.552890e-03,0
8.678054e-02,-1.099219e-01,-1.053190e-01,4.153837e-03,0
1.452611e-01,-4.434328e-02,-4.437879e-02,3.204149e-05,0
1.324828e-01,-5.837521e-02,-5.789571e-02,4.327144e-04,0
1.981391e-01,1.453938e-02,1.275192e-02,1.613046e-03,0
1.730939e-01,-1.028383e-02,-1.454773e-02,3.847852e-03,0
2.434028e-01,6.661881e-02,6.318637e-02,3.097519e-03,0
2.070530e-01,3.169210e-02,2.257252e-02,8.229739e-03,0
2.793126e-01,1.090666e-01,1.042027e-01,4.389263e-03,0
2.330553e-01,6.506767e-02,5.153233e-02,1.221463e-02,0
3.044885e-01,1.394705e-01,1.334887e-01,5.398151e-03,0
2.501013e-01,8.776137e-02,7.077007e-02,1.533337e-02,0
3.179632e-01,1.560464e-01,1.493425e-01,6.049745e-03,0
2.575361e-01,9.829671e-02,7.922349e-02,1.721215e-02,0
4.970658e-01,3.856474e-01,3.719519e-01,1.235915e-02,0
4.365070e-01,3.223588e-01,2.942091e-01,2.540303e-02,0
4.804282e-01,3.634952e-01,3.503415e-01,1.187021e-02,0
4.161558e-01,2.959840e-01,2.686504e-01,2.466651e-02,0
4.453280e-01,3.173853e-01,3.053759e-01,1.083755e-02,0
3.798120e-01,2.484302e-01,2.237169e-01,2.230194e-02,0
3.931141e-01,2.503646e-01,2.400572e-01,9.301591e-03,0
3.288723e-01,1.828195e-01,1.622694e-01,1.854494e-02,0
3.257930e-01,1.667231e-01,1.586123e-01,7.319358e-03,0
2.652942e-01,1.033466e-01,8.808509e-02,1.377237e-02,0
2.459519e-01,7.156797e-02,6.606876e-02,4.962631e-03,0
1.915209e-01,1.486228e-02,5.495970e-03,8.452392e-03,0
1.566591e-01,-2.966084e-02,-3.222707e-02,2.315831e-03,0
1.103876e-01,-7.758606e-02,-8.100262e-02,3.083191e-03,0
6.134584e-02,-1.316712e-01,-1.310881e-01,5.262797e-04,0
2.501224e-02,-1.691993e-01,-1.671261e-01,1.870928e-03,0
-3.632485e-02,-2.297357e-01,-2.259002e-01,3.461181e-03,0
-6.132438e-02,-2.558009e-01,-2.491115e-01,6.036640e-03,0
-1.325996e-01,-3.199958e-01,-3.129242e-01,6.381515e-03,0
-1.453043e-01,-3.340969e-01,-3.239312e-01,9.173805e-03,0
-2.237786e-01,-3.996243e-01,-3.894535e-01,9.178388e-03,0
-2.237003e-01,-4.017978e-01,-3.893902e-01,1.119688e-02,0
-3.063580e-01,-4.668361e-01,-4.538211e-01,1.174504e-02,0
-2.934996e-01,-4.575964e-01,-4.441074e-01,1.217287e-02,0
-3.771641e-01,-5.207627e-01,-5.052701e-01,1.398086e-02,0
-3.520199e-01,-5.010218e-01,-4.873955e-01,1.229674e-02,0
-4.334761e-01,-5.612246e-01,-5.437212e-01,1.579551e-02,0
-3.970123e-01,-5.322019e-01,-5.190722e-01,1.184849e-02,0
-4.731298e-01,-5.884500e-01,-5.694865e-01,1.711311e-02,0
-4.267477e-01,-5.515853e-01,-5.392418e-01,1.113909e-02,0
-4.946014e-01,-6.027947e-01,-5.829857e-01,1.787608e-02,0
-4.400834e-01,-5.596737e-01,-5.480896e-01,1.045377e-02,0
-4.970658e-01,-6.045146e-01,-5.845147e-01,1.804840e-02,0
-4.365070e-01,-5.568120e-01,-5.457288e-01,1.000180e-02,0
