t,U,dUdt,Fx_num,Fy_num,Fz_num,Fx_exact,rel_err
7.400000e-01,8.422736e-01,1.145061e+00,-3.047000e+00,1.031355e-14,4.212256e-14,-2.937808e+00,3.716776e-02
7.600000e-01,8.644843e-01,1.075284e+00,-2.861346e+00,8.796922e-15,-3.043702e-14,-2.758785e+00,3.717584e-02
7.800000e-01,8.852566e-01,1.001263e+00,-2.664399e+00,-2.274840e-14,1.878337e-14,-2.568875e+00,3.718508e-02
8.000000e-01,9.045085e-01,9.232909e-01,-2.456937e+00,1.550382e-14,-2.499303e-15,-2.368827e+00,3.719583e-02
8.200000e-01,9.221640e-01,8.416748e-01,-2.239779e+00,-2.689631e-14,-8.277667e-15,-2.159429e+00,3.720863e-02
8.400000e-01,9.381533e-01,7.567369e-01,-2.013781e+00,9.335431e-15,-2.969803e-14,-1.941510e+00,3.722424e-02
8.600000e-01,9.524135e-01,6.688125e-01,-1.779836e+00,-3.120625e-15,5.938175e-14,-1.715928e+00,3.724389e-02
8.800000e-01,9.648882e-01,5.782487e-01,-1.538867e+00,1.295488e-14,-3.420875e-14,-1.483575e+00,3.726961e-02
9.000000e-01,9.755283e-01,4.854028e-01,-1.291824e+00,-1.176624e-14,-1.852728e-14,-1.245366e+00,3.730504e-02
9.200000e-01,9.842916e-01,3.906412e-01,-1.039683e+00,4.285197e-15,1.520312e-14,-1.002242e+00,3.735748e-02
9.400000e-01,9.911436e-01,2.943379e-01,-7.834396e-01,-1.247522e-14,-3.102119e-15,-7.551633e-01,3.744397e-02
9.600000e-01,9.960574e-01,1.968730e-01,-5.241038e-01,1.222955e-14,3.890117e-16,-5.051040e-01,3.761558e-02
9.800000e-01,9.990134e-01,9.863112e-02,-2.626996e-01,2.972956e-14,-2.424276e-14,-2.530513e-01,3.812771e-02
1.000000e+00,1.000000e+00,1.923671e-16,-2.586794e-04,-3.417847e-14,3.097045e-14,-4.935435e-16,NaN
1.020000e+00,1.000000e+00,0.000000e+00,6.554582e-02,1.399554e-14,-1.162438e-14,-0.000000e+00,NaN
1.040000e+00,1.000000e+00,0.000000e+00,8.035239e-15,-8.339714e-15,1.019844e-14,-0.000000e+00,NaN
1.060000e+00,1.000000e+00,0.000000e+00,3.520345e-14,1.164057e-15,-1.319214e-14,-0.000000e+00,NaN
1.080000e+00,1.000000e+00,0.000000e+00,1.584139e-14,-6.363352e-15,1.605617e-14,-0.000000e+00,NaN
1.100000e+00,1.000000e+00,0.000000e+00,3.322321e-14,1.829886e-14,-1.946360e-14,-0.000000e+00,NaN
1.120000e+00,1.000000e+00,0.000000e+00,3.902586e-15,-1.302503e-14,1.609043e-14,-0.000000e+00,NaN
1.140000e+00,1.000000e+00,0.000000e+00,2.830825e-14,7.298693e-15,-1.472867e-14,-0.000000e+00,NaN
1.160000e+00,1.000000e+00,0.000000e+00,1.922665e-14,-1.337850e-14,-7.961513e-15,-0.000000e+00,NaN
1.180000e+00,1.000000e+00,0.000000e+00,8.174776e-15,2.571052e-14,2.052655e-14,-0.000000e+00,NaN
1.200000e+00,1.000000e+00,0.000000e+00,1.657382e-14,-1.380989e-14,3.641618e-15,-0.000000e+00,NaN
1.220000e+00,1.000000e+00,0.000000e+00,1.050630e-14,5.735650e-15,-1.783686e-14,-0.000000e+00,NaN
1.240000e+00,1.000000e+00,0.000000e+00,4.368451e-14,-2.535800e-14,-1.062605e-14,-0.000000e+00,NaN
1.260000e+00,1.000000e+00,0.000000e+00,-1.026468e-15,3.393433e-14,2.250630e-14,-0.000000e+00,NaN
1.280000e+00,1.000000e+00,0.000000e+00,1.638495e-14,-5.637004e-16,-1.307548e-15,-0.000000e+00,NaN
1.300000e+00,1.000000e+00,0.000000e+00,1.776189e-14,-1.588502e-14,-1.154762e-14,-0.000000e+00,NaN
1.320000e+00,1.000000e+00,0.000000e+00,4.519350e-14,-1.245788e-14,-9.426054e-15,-0.000000e+00,NaN
1.340000e+00,1.000000e+00,0.000000e+00,-1.004069e-14,2.560648e-14,2.185361e-14,-0.000000e+00,NaN
1.360000e+00,1.000000e+00,0.000000e+00,1.301037e-14,-3.911330e-15,-5.925815e-15,-0.000000e+00,NaN
1.380000e+00,1.000000e+00,0.000000e+00,1.406660e-14,-2.226089e-14,6.290541e-15,-0.000000e+00,NaN
1.400000e+00,1.000000e+00,0.000000e+00,2.049321e-14,1.345944e-14,-1.538049e-14,-0.000000e+00,NaN
