step,time,alpha_deg,panel_CL,panel_cl_eta0.15,panel_cl_eta0.3,panel_cl_eta0.45,panel_cl_eta0.6,panel_cl_eta0.75,panel_cl_eta0.9,particle_CL,particle_cl_eta0.15,particle_cl_eta0.3,particle_cl_eta0.45,particle_cl_eta0.6,particle_cl_eta0.75,particle_cl_eta0.9
10,0.015142337976983646,4.680939689297659,0.2661384914893877,0.3107184928384305,0.30768419433764654,0.28814849800493486,0.2635671500185313,0.22379197622437183,0.15839759418187288,0.2661384914893877,0.3107184928384305,0.30768419433764654,0.28814849800493486,0.2635671500185313,0.22379197622437183,0.15839759418187288
11,0.01665657177468201,4.75084703290515,0.2715455699328523,0.3172146650468354,0.3141298230239365,0.2939901619290382,0.2687855992080484,0.2280963016272634,0.1613460928271383,0.2715455699328523,0.3172146650468354,0.3141298230239365,0.2939901619290382,0.2687855992080484,0.2280963016272634,0.1613460928271383
12,0.018170805572380374,4.819574271636091,0.2765907509561289,0.32325497368904244,0.32012171423551306,0.2994434232371793,0.27367175392791276,0.23214086833344263,0.1641273385542045,0.2765907509561289,0.32325497368904244,0.32012171423551306,0.2994434232371793,0.27367175392791276,0.23214086833344263,0.1641273385542045
13,0.01968503937007874,4.887021380027866,0.28133830522156855,0.3289230599417036,0.3257429581374649,0.30457749089620867,0.27828304311822244,0.23596858166221335,0.16676728594471404,0.28133830522156855,0.3289230599417036,0.3257429581374649,0.30457749089620867,0.27828304311822244,0.23596858166221335,0.16676728594471404
14,0.021199273167777106,4.95309019571656,0.2858349128215521,0.33427981310485055,0.3310541661590983,0.30944242507843855,0.2826608856140099,0.2396103160515424,0.16928458014225886,0.2858349128215521,0.33427981310485055,0.3310541661590983,0.30944242507843855,0.2826608856140099,0.2396103160515424,0.16928458014225886
15,0.02271350696547547,5.017684562302239,0.2901144338542935,0.33936949145847034,0.33609947660746287,0.314074414790186,0.2868351407092133,0.24308826768690536,0.17169258162851703,0.2901144338542935,0.33936949145847034,0.33609947660746287,0.314074414790186,0.2868351407092133,0.24308826768690536,0.17169258162851703
16,0.024227740763173834,5.080710469294746,0.29420131125080373,0.34422412438352756,0.34091088668567066,0.31849950836184643,0.2908272296282912,0.2464182959718523,0.1740007845205933,0.29420131125080373,0.34422412438352756,0.34091088668567066,0.31849950836184643,0.2908272296282912,0.2464182959718523,0.1740007845205933
17,0.0257419745608722,5.14207618893635,0.2981130274845791,0.3488667039242407,0.3455114022967721,0.322736286224662,0.294652362489325,0.24961159170301128,0.17621582803014674,0.2981130274845791,0.3488667039242407,0.3455114022967721,0.322736286224662,0.294652362489325,0.24961159170301128,0.17621582803014674
18,0.027256208358570563,5.2016924097021136,0.30186189538503394,0.35331351564209296,0.34991734673719127,0.3267977977528198,0.29832114843795515,0.2526758838976224,0.1783422289426798,0.30186189538503394,0.35331351564209296,0.34991734673719127,0.3267977977528198,0.29832114843795515,0.2526758838976224,0.1783422289426798
19,0.02877044215626893,5.259472366283668,0.30545637608965415,0.35757585260793834,0.35414006024287864,0.33069297940487197,0.30184077401783144,0.2556163237600263,0.18038292297515873,0.30545637608965415,0.35757585260793834,0.35414006024287864,0.33069297940487197,0.30184077401783144,0.2556163237600263,0.18038292297515873
20,0.03028467595396729,5.315331965867251,0.3089020556059948,0.36166128425011296,0.35818716305464854,0.3344277020194701,0.30521587483253493,0.2584361401454469,0.18233966463284096,0.3089020556059948,0.36166128425011296,0.35818716305464854,0.3344277020194701,0.30521587483253493,0.2584361401454469,0.18233966463284096
