step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
178,0.05493827,9.399768e-02,1.290673e+05,-
179,0.05524691,7.992218e-02,2.451150e+05,-
180,0.05555556,-1.024256e+00,4.698166e+05,-
181,0.05586420,-1.026711e+00,9.263070e+05,-
182,0.05617284,-1.031692e+00,1.325977e+06,-
183,0.05648148,-1.037571e+00,2.128454e+06,-
184,0.05679012,-1.041634e+00,3.987257e+06,-
185,0.05709877,-2.379331e+00,4.367001e+06,-
186,0.05740741,-2.391119e+00,3.808512e+06,-
187,0.05771605,-2.406477e+00,1.445457e+07,-
188,0.05802469,-2.415368e+00,1.405142e+07,-
