step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
163,0.05030864,1.545197e-01,1.502667e+03,-
164,0.05061728,1.507522e-01,1.775357e+03,-
165,0.05092593,1.475381e-01,1.852391e+03,-
166,0.05123457,1.448257e-01,2.022002e+03,-
167,0.05154321,1.425277e-01,1.874926e+03,-
168,0.05185185,1.405108e-01,1.852085e+03,-
169,0.05216049,1.387229e-01,1.829753e+03,-
170,0.05246914,1.371292e-01,1.835704e+03,-
171,0.05277778,1.357570e-01,1.756865e+03,-
172,0.05308642,1.346592e-01,1.619900e+03,-
173,0.05339506,1.338648e-01,1.780467e+03,-
174,0.05370370,1.333862e-01,1.945116e+03,-
175,0.05401235,1.332060e-01,2.030446e+03,-
176,0.05432099,1.332776e-01,2.065978e+03,-
177,0.05462963,1.335292e-01,2.059374e+03,-
178,0.05493827,1.338907e-01,2.027091e+03,-
179,0.05524691,1.343139e-01,2.008387e+03,-
180,0.05555556,1.347581e-01,2.061700e+03,-
181,0.05586420,1.351933e-01,2.199912e+03,-
182,0.05617284,1.356277e-01,2.330787e+03,-
183,0.05648148,1.360800e-01,2.396414e+03,-
184,0.05679012,1.364934e-01,2.491868e+03,-
185,0.05709877,1.365783e-01,2.644701e+03,-
186,0.05740741,1.355657e-01,2.812269e+03,-
187,0.05771605,1.332811e-01,2.931592e+03,-
188,0.05802469,1.290350e-01,2.954178e+03,-
189,0.05833333,1.191004e-01,2.854476e+03,-
190,0.05864198,1.114790e-01,2.638678e+03,-
191,0.05895062,1.048491e-01,2.400148e+03,-
192,0.05925926,9.915482e-02,2.226720e+03,-
193,0.05956790,9.448149e-02,2.476482e+03,-
194,0.05987654,9.066812e-02,2.762933e+03,-
195,0.06018519,8.780505e-02,3.065198e+03,-
196,0.06049383,8.605166e-02,3.411270e+03,-
197,0.06080247,8.359484e-02,3.872005e+03,-
198,0.06111111,8.103252e-02,4.455307e+03,-
199,0.06141975,7.861415e-02,4.995022e+03,-
200,0.06172840,7.676982e-02,5.563979e+03,-
201,0.06203704,7.528329e-02,6.063031e+03,-
202,0.06234568,7.394656e-02,6.442092e+03,-
203,0.06265432,7.197710e-02,6.657448e+03,-
204,0.06296296,6.912666e-02,6.682799e+03,-
205,0.06327160,6.770780e-02,6.573417e+03,-
206,0.06358025,6.769093e-02,6.412560e+03,-
207,0.06388889,6.592303e-02,6.267274e+03,-
208,0.06419753,6.429056e-02,6.172504e+03,-
209,0.06450617,6.245298e-02,6.158760e+03,-
210,0.06481481,6.012212e-02,6.262299e+03,-
211,0.06512346,5.780059e-02,6.522402e+03,-
212,0.06543210,5.595416e-02,6.925086e+03,-
213,0.06574074,5.474454e-02,7.318301e+03,-
214,0.06604938,5.393497e-02,7.606620e+03,-
215,0.06635802,5.331338e-02,7.794745e+03,-
216,0.06666667,5.291942e-02,7.868251e+03,-
217,0.06697531,5.285771e-02,7.821366e+03,-
218,0.06728395,5.288690e-02,7.717036e+03,-
219,0.06759259,5.292561e-02,7.642172e+03,-
220,0.06790123,5.300130e-02,7.522629e+03,-
221,0.06820988,5.308560e-02,7.263034e+03,-
222,0.06851852,5.306306e-02,6.830028e+03,-
223,0.06882716,5.296059e-02,6.277404e+03,-
224,0.06913580,5.286044e-02,6.203828e+03,-
225,0.06944444,5.278006e-02,6.240189e+03,-
226,0.06975309,5.299034e-02,6.399618e+03,-
227,0.07006173,5.334521e-02,6.867299e+03,-
228,0.07037037,5.351033e-02,7.018893e+03,-
229,0.07067901,5.332724e-02,6.817655e+03,-
230,0.07098765,5.301096e-02,6.549676e+03,-
231,0.07129630,5.278758e-02,6.405450e+03,-
232,0.07160494,5.251173e-02,7.131761e+03,-
233,0.07191358,5.212409e-02,8.760960e+03,-
234,0.07222222,5.163218e-02,1.945482e+04,-
235,0.07253086,5.102333e-02,2.724732e+04,-
236,0.07283951,5.044619e-02,4.370040e+04,-
237,0.07314815,5.024139e-02,1.590838e+05,-
238,0.07345679,5.066441e-02,3.886066e+05,-
239,0.07376543,5.188550e-02,9.814778e+05,-
240,0.07407407,5.344520e-02,1.301772e+06,-
241,0.07438272,5.388225e-02,3.118243e+06,-
242,0.07469136,5.260794e-02,1.192922e+07,-
