step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
204,0.06296296,6.114003e-01,1.974131e+01,-
205,0.06327160,6.103970e-01,2.003447e+01,-
206,0.06358025,6.089491e-01,2.023984e+01,-
207,0.06388889,6.067014e-01,2.032961e+01,-
208,0.06419753,6.044982e-01,2.056961e+01,-
209,0.06450617,6.023405e-01,2.086967e+01,-
210,0.06481481,6.002293e-01,2.116701e+01,-
211,0.06512346,5.981632e-01,2.146165e+01,-
212,0.06543210,5.961394e-01,2.175275e+01,-
213,0.06574074,5.941530e-01,2.204077e+01,-
214,0.06604938,5.922004e-01,2.232434e+01,-
215,0.06635802,5.902809e-01,2.260375e+01,-
216,0.06666667,5.883892e-01,2.287903e+01,-
217,0.06697531,5.865220e-01,2.314973e+01,-
218,0.06728395,5.846772e-01,2.341590e+01,-
219,0.06759259,5.828552e-01,2.367699e+01,-
220,0.06790123,5.810511e-01,2.393381e+01,-
221,0.06820988,5.792680e-01,2.418631e+01,-
222,0.06851852,5.775033e-01,2.450076e+01,-
223,0.06882716,5.757594e-01,2.485985e+01,-
224,0.06913580,5.740349e-01,2.522440e+01,-
225,0.06944444,5.723323e-01,2.559286e+01,-
226,0.06975309,5.706521e-01,2.596595e+01,-
227,0.07006173,5.689948e-01,2.634315e+01,-
228,0.07037037,5.673630e-01,2.672236e+01,-
229,0.07067901,5.657594e-01,2.710521e+01,-
230,0.07098765,5.641866e-01,2.749044e+01,-
231,0.07129630,5.626507e-01,2.787646e+01,-
232,0.07160494,5.611525e-01,2.826282e+01,-
233,0.07191358,5.596994e-01,2.864992e+01,-
234,0.07222222,5.582948e-01,2.903487e+01,-
235,0.07253086,5.569458e-01,2.941931e+01,-
236,0.07283951,5.556571e-01,2.980144e+01,-
237,0.07314815,5.544338e-01,3.200519e+01,-
238,0.07345679,5.532768e-01,3.457759e+01,-
239,0.07376543,5.521863e-01,3.689455e+01,-
240,0.07407407,5.479491e-01,3.906539e+01,-
241,0.07438272,5.414416e-01,4.115764e+01,-
