step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
238,0.07345679,4.626117e-01,5.421295e+01,-
239,0.07376543,4.600584e-01,5.848914e+01,-
240,0.07407407,4.575225e-01,6.285505e+01,-
241,0.07438272,4.550136e-01,6.685538e+01,-
242,0.07469136,4.525440e-01,7.006081e+01,-
243,0.07500000,4.501332e-01,7.191121e+01,-
244,0.07530864,4.478042e-01,7.296475e+01,-
245,0.07561728,4.455871e-01,7.220762e+01,-
246,0.07592593,4.435152e-01,7.084410e+01,-
247,0.07623457,4.416249e-01,6.866044e+01,-
248,0.07654321,4.399497e-01,6.532761e+01,-
249,0.07685185,4.385098e-01,6.424327e+01,-
250,0.07716049,4.373050e-01,6.916744e+01,-
251,0.07746914,4.363050e-01,7.424704e+01,-
252,0.07777778,4.354677e-01,7.940020e+01,-
253,0.07808642,4.347242e-01,8.424533e+01,-
254,0.07839506,4.340156e-01,8.832622e+01,-
255,0.07870370,4.332961e-01,9.096609e+01,-
256,0.07901235,4.325303e-01,9.181527e+01,-
257,0.07932099,4.317081e-01,9.101182e+01,-
258,0.07962963,4.308225e-01,8.894574e+01,-
259,0.07993827,4.276202e-01,8.595871e+01,-
260,0.08024691,4.180705e-01,8.224193e+01,-
261,0.08055556,4.102768e-01,7.793660e+01,-
262,0.08086420,4.047769e-01,7.317848e+01,-
263,0.08117284,4.017540e-01,6.808327e+01,-
264,0.08148148,4.011548e-01,6.282598e+01,-
265,0.08179012,4.027468e-01,6.280122e+01,-
266,0.08209877,4.062028e-01,6.408023e+01,-
267,0.08240741,4.027836e-01,6.468044e+01,-
268,0.08271605,4.020293e-01,6.453981e+01,-
269,0.08302469,4.057338e-01,6.675356e+01,-
270,0.08333333,4.115698e-01,7.010332e+01,-
271,0.08364198,4.154874e-01,7.327863e+01,-
272,0.08395062,4.143215e-01,7.628611e+01,-
273,0.08425926,4.085943e-01,7.915256e+01,-
274,0.08456790,4.006591e-01,8.185459e+01,-
275,0.08487654,3.919303e-01,8.479431e+01,-
276,0.08518519,3.829741e-01,8.899849e+01,-
277,0.08549383,3.737925e-01,9.244029e+01,-
278,0.08580247,3.642524e-01,9.467029e+01,-
279,0.08611111,3.542493e-01,9.608969e+01,-
280,0.08641975,3.437764e-01,9.735380e+01,-
281,0.08672840,3.328836e-01,9.802914e+01,-
282,0.08703704,3.216942e-01,9.775557e+01,-
283,0.08734568,3.104473e-01,1.001817e+02,-
284,0.08765432,2.995135e-01,1.048922e+02,-
