# x_over_c y_over_c
9.0925141287488298e-02 5.6134371404928385e-02
8.6459712862719085e-02 5.4844099904317330e-02
8.2096319315864863e-02 5.3518127839021830e-02
7.7836037248992462e-02 5.2158459356126508e-02
7.3679917822953855e-02 5.0767275242393856e-02
6.9628986498028178e-02 4.9346917108921480e-02
6.5684242780904345e-02 4.7899869428884863e-02
6.1846659978068208e-02 4.6428739609790472e-02
5.8117184955653267e-02 4.4936236311333248e-02
5.4496737905816051e-02 4.3425146247162233e-02
5.0986212119692176e-02 4.1898309733182752e-02
4.7586473766990212e-02 4.0358595266077643e-02
4.4298361682277354e-02 3.8808873433176690e-02
4.1122687158009430e-02 3.7251990468339304e-02
3.8060233744356631e-02 3.5690741777911691e-02
3.5111757055874271e-02 3.4127845765888197e-02
3.2277984585066366e-02 3.2565918288027927e-02
2.9559615522887273e-02 3.1007448060795782e-02
2.6957320586227351e-02 2.9454773342621199e-02
2.4471741852423234e-02 2.7910060192163851e-02
2.2103492600834940e-02 2.6375282591190125e-02
1.9853157161528467e-02 2.4852204698491077e-02
1.7721290771100962e-02 2.3342365476272258e-02
1.5708419435684462e-02 2.1847065901942811e-02
1.3815039801161721e-02 2.0367358946586946e-02
1.2041619030626283e-02 1.8904042467040950e-02
1.0388594689117125e-02 1.7457655121880005e-02
8.8563746356556394e-03 1.6028475383235419e-02
7.4453369226130661e-03 1.4616523676742897e-02
6.1558297024311148e-03 1.3221567641601008e-02
4.9881711417212315e-03 1.1843130462265873e-02
3.9426493427610620e-03 1.0480502183268353e-02
3.0195222724101467e-03 9.1327538795907184e-03
2.2190176984600019e-03 7.7987545175057819e-03
1.5413331334360181e-03 6.4771903053103515e-03
9.8663578586422052e-04 5.1665863004579900e-03
5.5506251901499271e-04 3.8653300096885236e-03
2.4671981713419999e-04 2.5716966922820139e-03
6.1683759169706143e-05 1.2838760539058925e-03
0.0000000000000000e+00 0.0000000000000000e+00
6.1683759169706143e-05 -7.3729099339092728e-04
2.4671981713419999e-04 -1.4718652955530553e-03
5.5506251901499271e-04 -2.1989947556303692e-03
9.8663578586422052e-04 -2.9140227401148553e-03
1.5413331334360181e-03 -3.6123991905511461e-03
2.2190176984600019e-03 -4.2897145507840738e-03
3.0195222724101467e-03 -4.9417322097885571e-03
3.9426493427610620e-03 -5.5644191253187468e-03
