step,min_sr_sfs_on,min_sr_sfs_off,max_dtZ_on,max_dtZ_off
70,5.753334e-01,5.424524e-01,0.034786124500162226,0.03844219670683801
71,5.637669e-01,5.255914e-01,0.0368087176307045,0.036453842907766425
72,5.488630e-01,5.084662e-01,0.03514908228857953,0.03427126890091713
73,5.323671e-01,4.924620e-01,0.040318067134068616,0.0350168169578008
74,5.150085e-01,4.777159e-01,0.03560867128558777,0.035839074820566516
75,4.976805e-01,4.648685e-01,0.03928733701376242,0.03665518163427548
76,4.820203e-01,4.532190e-01,0.03878712525939798,0.04027177670881431
77,4.677832e-01,4.420365e-01,0.03995002945586583,0.04429573153401211
78,4.537033e-01,4.271198e-01,0.044274488090281894,0.04155412141549528
79,4.367648e-01,4.138568e-01,0.044459767260396646,0.044447218767898894
80,4.225163e-01,4.055088e-01,0.040777290276216634,0.0382643859772051
81,4.131977e-01,4.015898e-01,0.04647053364125798,0.03315012057373176
82,4.076031e-01,3.920416e-01,0.05200345061698166,0.031036031350721655
83,4.049079e-01,3.858101e-01,0.04677827563845339,0.031490000456475854
84,4.053400e-01,3.828200e-01,0.046886106517685974,0.03308330658822581
85,4.100238e-01,3.824920e-01,0.04774352020978292,0.033682882216797494
86,4.155061e-01,3.849740e-01,0.04336864075897499,0.03318928841981727
87,4.098291e-01,3.911998e-01,0.05198880313028092,0.03272443613977454
88,4.082591e-01,3.912271e-01,0.05465100897643649,0.03175580960502438
89,4.103747e-01,3.821806e-01,0.04723824243329996,0.029222294527255895
90,4.007425e-01,3.756466e-01,0.042441283639970996,0.03211532356873222
91,3.905736e-01,3.728364e-01,0.04189210475849114,0.029928163827703812
92,3.826394e-01,3.738970e-01,0.03817834849503776,0.03577621277944146
93,3.761611e-01,3.794396e-01,0.03801115677060338,0.041911807720966414
94,3.711555e-01,3.774935e-01,0.03796192885838375,0.04410998888297292
95,3.686392e-01,3.733892e-01,0.03519393197447964,0.0365945094974533
96,3.705806e-01,3.717090e-01,0.03507960953806752,0.034140390610013616
97,3.793626e-01,3.733810e-01,0.03305274133970789,0.03135747223342362
98,4.129574e-01,3.772114e-01,0.03521004673225678,0.030924658777153526
99,4.082725e-01,4.077136e-01,0.036855115261904846,0.03423216541211845
100,4.038929e-01,4.021882e-01,0.03269688108456283,0.03520241055361263
101,4.002969e-01,3.954162e-01,0.030325069360403578,0.03656712280435726
102,3.976604e-01,3.874496e-01,0.031133314478764468,0.03717047762196542
103,3.951868e-01,3.787208e-01,0.03196886827393287,0.03959708157164799
104,3.935904e-01,3.697144e-01,0.03012703680080391,0.043244741293702385
105,3.935456e-01,3.606341e-01,0.029568575537555097,0.042226595351129756
106,3.956538e-01,3.514336e-01,0.03517940889175925,0.04023781917895311
107,4.003104e-01,3.420748e-01,0.03846281515486142,0.04024617877350251
108,4.065912e-01,3.324654e-01,0.029548766395089285,0.0421241124178132
109,4.112096e-01,3.226278e-01,0.030348504904589946,0.04001212413746783
110,4.149910e-01,3.127207e-01,0.033415143864915654,0.03634540182802255
111,4.175031e-01,3.030892e-01,0.03309818097496483,0.03478747851137908
112,4.191431e-01,2.942583e-01,0.032837074327793155,0.03688259522250464
113,4.202719e-01,2.869690e-01,0.036920481046231676,0.07554676949929294
114,4.213110e-01,2.817649e-01,0.03500836937078774,0.054544898400778925
115,4.187547e-01,2.789327e-01,0.035522235187149274,0.08713176156707422
116,4.099054e-01,2.773160e-01,0.03965919911968735,0.07152278156214853
117,4.038602e-01,2.645262e-01,0.033057133699004516,0.05063101605881607
118,4.008664e-01,2.531262e-01,0.029831562875063437,0.04570052015231153
119,3.931744e-01,2.452374e-01,0.03529101174940853,0.04610696214363619
120,3.854264e-01,2.416619e-01,0.033691475561591064,0.05206975541695257
121,3.793809e-01,2.440278e-01,0.0354294168865201,0.046187911008519204
122,3.754337e-01,2.485876e-01,0.03615688484392365,0.04585036976265812
123,3.733464e-01,2.537003e-01,0.037051637432473854,0.048692303265838684
124,3.715742e-01,2.534490e-01,0.03854228808455729,0.0428556003142571
125,3.706832e-01,2.553140e-01,0.04668832607042056,0.0394232670330488
126,3.707187e-01,2.553600e-01,0.05015021745109301,0.041174655233072795
127,3.706748e-01,2.521969e-01,0.04917653881843383,0.04577446168063018
128,3.709245e-01,2.502669e-01,0.04369063202904455,0.0420585598632832
129,3.632673e-01,2.502424e-01,0.037939920673044816,0.044396055654067686
130,3.518825e-01,2.520417e-01,0.045707467346341846,0.04080648171913292
131,3.404830e-01,2.558632e-01,0.06051660110010516,0.041766475114825605
132,3.290871e-01,2.600768e-01,0.06191713954213074,0.041022987133146456
133,3.181039e-01,2.589295e-01,0.04556593276854492,0.0602808631249023
134,3.076049e-01,2.579418e-01,0.03726730878402884,0.07398133460304328
135,2.978335e-01,2.577106e-01,0.036386265167610725,0.07006312777438901
136,2.890282e-01,2.585475e-01,0.04023071140327592,0.038059857198629615
137,2.810299e-01,2.610862e-01,0.042181731606960524,0.036844362278364816
138,2.737546e-01,2.658589e-01,0.04116901544271151,0.04995071239021798
139,2.671909e-01,2.737563e-01,0.047678764269761365,0.049582431271997844
140,2.614064e-01,3.228350e-01,0.05320706462476022,0.041954666953725614
141,2.563692e-01,3.321175e-01,0.06062011634222768,0.04136168017545228
142,2.519728e-01,3.306753e-01,0.06098774561069313,0.04324001939309666
143,2.479475e-01,3.283297e-01,0.060392291020814885,0.04362433308087265
144,2.439808e-01,3.264133e-01,0.06106171117647227,0.0392882828576966
145,2.400425e-01,3.247669e-01,0.06195912874067495,0.03477493467624848
146,2.367655e-01,3.232612e-01,0.06119677842388459,0.03402509602128614
147,2.341383e-01,3.218666e-01,0.0558713398923741,0.032240488004849584
148,2.319983e-01,3.205528e-01,0.04673975857245206,0.06939849386610258
149,2.306336e-01,3.193838e-01,0.05402942193168585,0.06280074661737949
150,2.299973e-01,3.183976e-01,0.055186384370527176,0.0564650247037956
151,2.297024e-01,3.176156e-01,0.05515790987878668,0.04698612038978415
152,2.292206e-01,3.170585e-01,0.05629620737160214,0.042875853950666995
153,2.282101e-01,3.167591e-01,0.05524031625875028,0.04229068094869188
154,2.268615e-01,3.167627e-01,0.06026067162718812,0.05695372817673356
155,2.255197e-01,3.171167e-01,0.050942758144304774,0.05761165275333822
156,2.242845e-01,3.178644e-01,0.046226900435975604,0.08152229124562002
157,2.232809e-01,3.190521e-01,0.04808706893189801,0.064258523786253
158,2.226478e-01,3.207358e-01,0.04973539606796819,0.03360545564328454
159,2.224121e-01,3.229500e-01,0.04430922379159497,0.032428649027735526
160,2.223514e-01,3.256757e-01,0.0430682805105712,0.045331285528968354
161,2.220745e-01,3.288770e-01,0.04718534480171395,0.052966887920124696
162,2.214845e-01,3.324789e-01,0.052367856325523814,0.04209695548856324
163,2.208628e-01,3.364081e-01,0.047624713753686605,0.04252675553094781
164,2.205227e-01,3.405757e-01,0.057994298782172236,0.05049486021394489
165,2.206528e-01,3.449041e-01,0.05705351104310705,0.05129435046559811
166,2.212947e-01,3.493264e-01,0.046643180330679664,0.0466572878711331
167,2.223520e-01,3.537740e-01,0.05415397726611658,0.045972449071036786
168,2.235253e-01,3.581740e-01,0.0464212219317917,0.04692057924011985
169,2.244618e-01,3.624845e-01,0.05046874445950908,0.04094701870768464
170,2.251518e-01,3.666741e-01,0.0527369212367416,0.03687978420247656
171,2.260109e-01,3.707561e-01,0.04923153009047743,0.03959227343413605
172,2.274051e-01,3.747072e-01,0.054369527818999654,0.05008279648753785
173,2.292257e-01,3.785454e-01,0.055393727651525726,0.04806115384124168
174,2.311162e-01,3.822679e-01,0.054946738682601644,0.0495807731492163
175,2.326116e-01,3.838044e-01,0.048956197286644076,0.046959546619899206
176,2.324570e-01,3.816383e-01,0.05369559752969214,0.05113074160675164
177,2.332136e-01,3.809004e-01,0.04988765878261783,0.050447435031182306
178,2.343569e-01,3.815983e-01,0.058249947985313605,0.05549643053245109
179,2.354799e-01,3.837322e-01,0.0548093921794416,0.054433439867201235
180,2.347992e-01,3.868176e-01,0.057178581532001754,0.06705882787319072
181,2.308972e-01,3.903642e-01,0.10887710872985953,0.059119309338712164
182,2.258467e-01,3.939318e-01,0.07609341380457087,0.058859005778445335
183,2.224217e-01,3.892580e-01,0.06913545510064872,0.07975854433466559
184,2.215078e-01,3.850780e-01,0.07571301329489184,0.08040078455157322
185,2.229541e-01,3.815341e-01,0.06412614061752522,0.07304500820166554
186,2.256626e-01,3.783963e-01,0.06331192129019357,0.0653356781397817
187,2.287172e-01,3.756098e-01,0.0739823920319241,0.05859760667027277
188,2.317758e-01,3.728260e-01,0.07906612396306101,0.05708465527754818
189,2.348447e-01,3.688099e-01,0.07239000799303706,0.05545641465006687
190,2.378646e-01,3.616610e-01,0.06465144692690346,0.06394419875248097
191,2.407902e-01,3.532771e-01,0.07414332115593572,0.07314894829516204
192,2.435571e-01,3.441911e-01,0.06255274036301164,0.06688752154786941
193,2.461004e-01,3.352830e-01,0.06892583456048297,0.0639146059023914
194,2.483262e-01,3.272302e-01,0.08353269391248885,0.061780984167325005
195,2.501450e-01,3.204340e-01,0.05826589634879774,0.061169729399873335
196,2.514888e-01,3.150766e-01,0.06323779262194125,0.06739099460081756
197,2.523987e-01,3.112072e-01,0.07968263481696625,0.06737884829064228
198,2.529921e-01,3.088223e-01,0.07825590294112598,0.06387298009974975
199,2.533540e-01,3.079310e-01,0.10075235483091918,0.06269256791411176
200,2.535052e-01,3.085294e-01,0.12308875159556908,0.06470365763330566
201,2.534854e-01,3.104869e-01,0.10916486353729497,0.056670539399652865
202,2.534105e-01,3.134894e-01,0.1201950347647165,0.04770791222693643
203,2.534048e-01,3.170762e-01,0.10966163004186658,0.04720570859158719
204,2.536348e-01,3.207352e-01,0.09026771562810434,0.04819713265987185
205,2.542332e-01,3.240177e-01,0.1194985156111247,0.05262671005676581
206,2.531923e-01,3.266544e-01,0.20409603796316308,0.06140028475332925
207,2.463225e-01,3.285578e-01,0.14543659393222505,0.07173332644251564
208,2.423230e-01,3.298026e-01,0.3776932281868739,0.0631056967855492
209,2.404377e-01,3.305632e-01,0.21416648541266303,0.06955015457297586
210,2.387673e-01,3.310471e-01,0.13758046719790937,0.06542486416972353
211,2.375565e-01,3.314688e-01,0.07679949286816852,0.06907875945558298
212,2.395458e-01,3.320401e-01,0.08149583078340965,0.06381787706445362
213,2.431008e-01,3.329732e-01,0.09480830516040717,0.06339036701221586
214,2.454157e-01,3.344841e-01,0.08852510218906966,0.05892263528673216
215,2.451281e-01,3.367774e-01,0.21206143900597407,0.06702556060980037
216,2.420390e-01,3.400121e-01,0.10484981403451858,0.05191055358483297
217,2.360157e-01,3.409380e-01,0.11951953362142113,0.0906507545489965
218,2.279352e-01,3.312799e-01,0.15908526298112383,0.06793039827242407
219,2.202539e-01,3.235990e-01,0.15252542019641735,0.06444529449809752
220,2.139251e-01,3.178253e-01,0.16747330692382317,0.059415272256370916
221,2.086325e-01,3.137707e-01,0.1067521191916115,0.066702270521202
222,2.044459e-01,3.111472e-01,0.22331058759052375,0.07720994565384394
223,2.013895e-01,3.096550e-01,0.1545953410355123,0.09323419232722152
224,1.982486e-01,3.061707e-01,0.1133225177626416,0.09753564057680109
225,1.935560e-01,3.016137e-01,0.10424727238148211,0.0760757835467074
226,1.890860e-01,3.011557e-01,0.09912630805639322,0.061921094309123605
227,1.886551e-01,3.044875e-01,0.08658358858215015,0.07327013686085909
228,1.909190e-01,3.054657e-01,0.09978923963035831,0.07882457109616141
229,1.927927e-01,3.035909e-01,0.12767249582861956,0.07842772682371807
230,1.936760e-01,3.017690e-01,0.1483599549693663,0.09103777049900579
231,1.940786e-01,2.973169e-01,0.13938225017267672,0.100813193143075
232,1.942177e-01,2.885124e-01,0.11319075911409306,0.11908451467710253
233,1.954036e-01,2.839051e-01,0.11253376210350688,0.15489489508983284
234,1.983491e-01,2.803175e-01,0.09544386723261986,0.1570555192686468
235,1.952489e-01,2.772779e-01,0.11678741483530769,0.11305167440832921
236,1.873408e-01,2.749386e-01,0.09169574007409273,0.15035820600610247
237,1.815023e-01,2.731886e-01,0.09566534924305832,0.07795877543530076
238,1.752435e-01,2.718676e-01,0.11106249438910583,0.10283131408417949
239,1.618245e-01,2.709347e-01,0.12430905426118843,0.07586495528011314
240,1.452113e-01,2.704805e-01,0.13544005847713936,0.08013997148962512
241,1.328611e-01,2.697550e-01,0.16168331085322335,0.09440729349439295
242,1.270103e-01,2.678170e-01,0.127419408629094,0.11561537300183002
243,1.292542e-01,2.658628e-01,0.11537644309579369,0.1321874464812265
244,1.342224e-01,2.641685e-01,0.1198920433685764,0.13817513966674141
245,1.396274e-01,2.634491e-01,0.15335086801329825,0.14648274406323736
246,1.483748e-01,2.639244e-01,0.10201584358012897,0.1184095407538601
247,1.600232e-01,2.654404e-01,0.1349156498917218,0.09608928832449577
248,1.668143e-01,2.676864e-01,0.1436765582268537,0.12725320734593776
249,2.292089e-01,2.641793e-01,0.12436262002249246,0.11103166073746407
250,2.148534e-01,2.496322e-01,0.27591809597161115,0.12175024154012823
251,2.000391e-01,2.378377e-01,0.13233520432019655,0.1537038121388408
252,1.887022e-01,2.261159e-01,0.18159040736634222,0.0991845172827169
253,1.807611e-01,2.160672e-01,0.29803569302408855,0.105579495644822
254,1.747568e-01,2.120934e-01,0.23109520258901817,0.08467167179874575
255,1.707118e-01,2.103606e-01,0.18896485375519537,0.1693237137449698
256,1.691699e-01,2.073167e-01,0.19279006917674316,0.14563084395069603
257,1.693602e-01,2.034622e-01,0.14145891173182681,0.14118026360954725
258,1.691350e-01,2.000573e-01,0.26071833999654603,0.17709695501224684
259,1.673442e-01,1.991390e-01,0.1834444258106775,0.15887116543192453
260,1.606020e-01,1.988827e-01,0.1918140778764057,0.323325271196119
261,1.614041e-01,1.985976e-01,0.2057693188235447,0.12204412704024319
262,1.664038e-01,1.996869e-01,0.1670971867455031,0.17423949666419014
263,1.563709e-01,2.009611e-01,0.23249171840046953,0.16237955844217897
264,1.509289e-01,2.016059e-01,0.22651593354330252,0.9224495073287925
265,1.487759e-01,5.505520e-02,0.18954179029833118,0.35687358628805577
266,1.496943e-01,6.404197e-02,0.30176709430991916,0.755924215541974
267,1.531604e-01,7.110608e-02,0.24917102352631912,1.2866016227717862
268,1.539215e-01,3.420087e-02,0.33359186964821824,4.0349821924355505
269,1.577666e-01,3.889069e-02,0.3294550708731581,13.425332760956369
270,1.680512e-01,3.475049e-02,0.1871112086451788,109.69759565714708
