family,d_over_sigma,common_mode_rms,E_upstream_rms,E_split_rms,E_downstream_rms,paired_mean,paired_median,paired_p95,paired_max,n_split_better,n_probes
root,2.0,0.18312825098224056,0.18312825098224056,0.1827817625328511,0.18344968047706323,-0.00033432034157587776,-0.0015890688406653697,0.0009204281575136142,0.0009204281575136142,1,2
root,4.0,0.06186334721119939,0.06186334721119939,0.058201108709713435,0.057188672902272523,-0.003656775538069,-0.0042565902972021424,-0.0030569607789358577,-0.0030569607789358577,2,2
root,8.0,0.0315867992886898,0.0315867992886898,0.02398724679150996,0.020933812332562952,-0.007599286111337611,-0.007719366056166587,-0.007479206166508635,-0.007479206166508635,2,2
root,16.0,0.01903045647356337,0.01903045647356337,0.011096256508513973,0.0065067552259726255,-0.007933700974492587,-0.008035815637102395,-0.00783158631188278,-0.00783158631188278,2,2
root,32.0,0.009812349125449435,0.009812349125449435,0.005186264855768243,0.0016148080154679257,-0.004625361998855032,-0.004717492968150117,-0.004533231029559948,-0.004533231029559948,2,2
root,64.0,0.003772557035147955,0.003772557035147955,0.001931026151139935,0.00031020928127288973,-0.0018413578139378417,-0.001869812933996064,-0.0018129026938796195,-0.0018129026938796195,2,2
tip,0.25,1.1830571883342444,1.1830571883342444,1.1895770890084916,1.1961229924788306,0.006520751829483418,0.005925433602339769,0.007116070056627066,0.007116070056627066,0,2
tip,0.5,1.078559481600011,1.078559481600011,1.0843688410117032,1.0902462171374407,0.005812399026324688,0.004715875031392036,0.0069089230212573405,0.0069089230212573405,0,2
tip,1.0,0.7382155112589863,0.7382155112589863,0.7420022913262903,0.7460343566739683,0.0037952124517012242,0.0021582433340375795,0.005432181569364869,0.005432181569364869,0,2
tip,2.0,0.22828058080519067,0.22828058080519067,0.2287415714858416,0.2303090797536476,0.0004735157600823797,-0.0009593555012206711,0.0019063870213854306,0.0019063870213854306,1,2
tip,4.0,0.0732277399987948,0.0732277399987948,0.06954960251859048,0.06857343400162293,-0.003673161804479394,-0.004312297596849951,-0.003034026012108837,-0.003034026012108837,2,2
tip,8.0,0.035574715049049854,0.035574715049049854,0.027423938958888835,0.02379066165491937,-0.00815056787441737,-0.00825639253329585,-0.008044743215538889,-0.008044743215538889,2,2
tip,16.0,0.020533095486336386,0.020533095486336386,0.012073767687716706,0.0069113359535016294,-0.00845879555137705,-0.008576750287625983,-0.008340840815128116,-0.008340840815128116,2,2
tip,32.0,0.010237925669758738,0.010237925669758738,0.005425266793427525,0.001631381274617256,-0.004811933060649985,-0.004909249407906358,-0.004714616713393612,-0.004714616713393612,2,2
tip,64.0,0.0038371374758958744,0.0038371374758958744,0.0019653678806264086,0.0003087866768704968,-0.0018715972117528908,-0.0019006467303431737,-0.001842547693162608,-0.001842547693162608,2,2
control,0.25,0.11498659886610316,0.11498659886610316,0.10870881392099792,0.10482206647128804,-0.006333229638039235,-0.006056041416184391,-0.0051940983116523926,-0.0051940983116523926,16,16
control,0.5,0.20642148529280546,0.20642148529280546,0.20340267453761698,0.2017657184519986,-0.0030303881015911905,-0.002817309636466425,-0.002509217649944412,-0.002509217649944412,16,16
control,1.0,0.2790121912553765,0.2790121912553765,0.27754366447774265,0.27710175544539006,-0.0014644051460318119,-0.0014392099253099921,-0.0008287853342063833,-0.0008287853342063833,16,16
control,2.0,0.13155605638915108,0.13155605638915108,0.1290001322685789,0.12860976065145102,-0.0025385633696375955,-0.0022571493295042433,-0.0018842492432951108,-0.0018842492432951108,16,16
control,4.0,0.03901214789713493,0.03901214789713493,0.028488882112275238,0.025311318447935036,-0.01037628575568317,-0.011193691753170434,-0.007072087930753885,-0.007072087930753885,16,16
control,8.0,0.0273431701631849,0.0273431701631849,0.012624184350790045,0.004813693735003625,-0.014494584294750323,-0.015436705699158736,-0.009802033889222678,-0.009802033889222678,16,16
control,16.0,0.020177206152012517,0.020177206152012517,0.009002601692658515,0.003317820416094603,-0.011029001935848463,-0.01150829708668062,-0.007716157266669587,-0.007716157266669587,16,16
control,32.0,0.010670224507309159,0.010670224507309159,0.004900095222262771,0.0015118211733774986,-0.005725436480617787,-0.005906447777461077,-0.004353055627440197,-0.004353055627440197,16,16
control,64.0,0.0039305586581630065,0.0039305586581630065,0.0018912798615567774,0.0003420177742625202,-0.002034275158996504,-0.0020847231713229976,-0.0017435595302457531,-0.0017435595302457531,16,16
