sigma_factor,nrows,nspan,mode,class,count,mean,median,p95,max
1.0,6,8,split,interior,850,0.6339183609755079,0.2597736314067744,3.408147450601247,5.82799797910067
1.0,6,8,split,roottip,340,0.8425734108450454,0.279069566072376,3.3162902705345307,27.52484209923113
1.0,6,8,split,perimeter,34,0.631173526025525,0.1955586141589781,4.763863905847694,5.412168792252518
1.0,6,12,upstream,interior,952,0.15115430459219886,0.10115444221676996,0.43881816552273584,1.9386949046016626
1.0,6,12,upstream,roottip,238,0.9082507412922559,0.2651332428464212,4.001763051679629,24.73131333142199
1.0,6,12,upstream,perimeter,34,0.0642862523745394,0.0455059548690582,0.15730831471789936,0.17010817666043782
1.0,6,12,split,interior,952,0.6148546796393513,0.25849201639939623,3.1217803975220533,5.657901030225384
1.0,6,12,split,roottip,238,1.0980309528052514,0.3503888518083842,4.211398109401473,27.425783196445156
1.0,6,12,split,perimeter,34,0.6313443205418543,0.19335208208639929,4.760216581404055,5.42312978580175
1.0,6,16,upstream,interior,1054,0.15598014909051308,0.10362280044459278,0.4438710675889177,2.7666656717542994
1.0,6,16,upstream,roottip,170,1.0900358586594099,0.31371688383448104,4.706742878190424,26.049158990327705
1.0,6,16,upstream,perimeter,34,0.06410350923282611,0.03502974433763582,0.16447251796633203,0.17884439766862117
1.0,6,16,split,interior,1054,0.6048691629268121,0.257506662200178,2.760908123502846,5.530171202820929
1.0,6,16,split,roottip,170,1.3175116119602714,0.4223794643091313,5.342077111119683,28.506927209025697
1.0,6,16,split,perimeter,34,0.6314276415749651,0.1927051752694673,4.7622928861134595,5.425590465297109
1.0,12,8,upstream,interior,450,0.24625354305970112,0.17573728653352214,0.7257365558101576,1.764007802017732
1.0,12,8,upstream,roottip,180,1.3953215650234394,0.49701522006523824,5.467312211487275,30.019467745488974
1.0,12,8,upstream,perimeter,18,0.13692364800354262,0.12652159963457468,0.2783487245190261,0.2783487245190261
1.0,12,8,split,interior,450,0.6862875556117414,0.4426944137950935,2.411014260803149,3.4509490926828974
1.0,12,8,split,roottip,180,1.535277812021332,0.6121765633589134,6.309938862922243,31.20447347351289
1.0,12,8,split,perimeter,18,0.6968535246006693,0.36871531899637744,2.9822952684305766,2.9822952684305766
1.0,12,12,upstream,interior,504,0.2542926194824027,0.18401288455649847,0.7072349638862916,2.3237297086437065
1.0,12,12,upstream,roottip,126,1.8811199673281338,0.7048060704007924,6.861302736595542,29.84472991711668
1.0,12,12,upstream,perimeter,18,0.13667777787439425,0.1228714589660054,0.292959558870049,0.292959558870049
1.0,12,12,split,interior,504,0.672831303889411,0.4406171613758002,2.2647182806806643,3.2427195350013216
1.0,12,12,split,roottip,126,2.0608900604223006,0.7944689168458619,7.870366737789484,31.129892780862292
1.0,12,12,split,perimeter,18,0.697057828859124,0.3738124591627573,2.9799099928603914,2.9799099928603914
1.0,12,16,upstream,interior,558,0.2642008797127908,0.18227071700090205,0.7580090492548273,3.29754767279983
1.0,12,16,upstream,roottip,90,2.287764086933489,0.8745453683028622,7.972116402865286,31.392089602116265
1.0,12,16,upstream,perimeter,18,0.1364931208226351,0.12324896072825346,0.3049312797163346,0.3049312797163346
1.0,12,16,split,interior,558,0.6733943704472194,0.44633446369715585,2.274450700624729,3.0936761826837107
1.0,12,16,split,roottip,90,2.509273648689247,0.965809328847086,8.995484877581648,32.557868179030095
1.0,12,16,split,perimeter,18,0.6971549609993435,0.3757242207669552,2.9741123785982357,2.9741123785982357
2.0,6,8,upstream,interior,234,0.13249967004634136,0.09836995917028613,0.3592416437782704,0.8663494012406925
2.0,6,8,upstream,roottip,90,0.5144969638071573,0.2023373720861839,1.7833563632065703,6.580209282273802
2.0,6,8,upstream,perimeter,18,0.06444440510526767,0.05438334666139735,0.15333747826253866,0.15333747826253866
2.0,6,8,split,interior,234,0.323672347202314,0.2318316423125514,0.9910284174549862,1.3404485371775692
2.0,6,8,split,roottip,90,0.618032912272555,0.2763088987290092,2.23382179934957,7.2003291728002905
2.0,6,8,split,perimeter,18,0.3013866547762778,0.15539960231470829,1.2526408939716125,1.2526408939716125
2.0,6,12,upstream,interior,270,0.13895290489650408,0.10021516570938965,0.33369742802468055,1.3087377217418497
2.0,6,12,upstream,roottip,72,0.672444073313885,0.25739459674354365,3.104938807586115,5.912873796035385
2.0,6,12,upstream,perimeter,18,0.06419304804901686,0.04212593099623399,0.16390061913780657,0.16390061913780657
2.0,6,12,split,interior,270,0.3242881927714153,0.23072598798694385,1.0161209561954343,1.1663977347389687
2.0,6,12,split,roottip,72,0.8063972596811655,0.37799429607971546,3.2517897547682773,6.651043692960842
2.0,6,12,split,perimeter,18,0.3014698730034733,0.15394746508764334,1.2473963500705234,1.2473963500705234
2.0,6,16,upstream,interior,306,0.15270367342847255,0.10219925576684816,0.39520289610583886,1.8140063893125022
2.0,6,16,upstream,roottip,54,0.79314236837357,0.3485066247414709,3.0817327440567945,6.011555354687861
2.0,6,16,upstream,perimeter,18,0.06402702413244654,0.03312918324514978,0.17137809432192036,0.17137809432192036
2.0,6,16,split,interior,306,0.3225265807831108,0.22568070427504142,1.0270880339431212,1.2722100158519123
2.0,6,16,split,roottip,54,0.9546930056048871,0.4600736436730695,3.2519021249468385,6.729934503475953
2.0,6,16,split,perimeter,18,0.30154302204394273,0.15360599117061427,1.2424764772572534,1.2424764772572534
2.0,12,8,upstream,interior,130,0.2198827400128519,0.1774655463113116,0.576842828451984,1.059498717708682
2.0,12,8,upstream,roottip,50,1.0107647427153492,0.4893595860231673,2.493334525034567,8.254108153054048
2.0,12,8,upstream,perimeter,10,0.13580213308646955,0.12537010127459916,0.26059100855156947,0.26059100855156947
2.0,12,8,split,interior,130,0.3307165686949233,0.2976024888002876,0.6150367579491822,0.7373307310696078
2.0,12,8,split,roottip,50,1.100671616288372,0.6219523207461656,2.6357564016368698,8.4836126477692
2.0,12,8,split,perimeter,10,0.2953603275360186,0.22090476262050113,0.5833644445916546,0.5833644445916546
2.0,12,12,upstream,interior,150,0.23282502865570034,0.18379763191096268,0.5364269693140146,1.580273164443177
2.0,12,12,upstream,roottip,40,1.3473813820125797,0.7137504709529067,3.7675404423031327,7.498202419615308
2.0,12,12,upstream,perimeter,10,0.13556278092721616,0.1257653749592746,0.2744294924271796,0.2744294924271796
2.0,12,12,split,interior,150,0.3441138594615892,0.32261130020507345,0.5875525268284503,1.2429249257011856
2.0,12,12,split,roottip,40,1.463158141618215,0.8087483972528152,3.809685310786406,7.832705251138566
2.0,12,12,split,perimeter,10,0.29544749932900227,0.22273606583632227,0.5959180993287269,0.5959180993287269
2.0,12,16,upstream,interior,170,0.2577780935285386,0.182243585005776,0.6889304865843798,2.192710585821613
2.0,12,16,upstream,roottip,30,1.618895969343509,0.7328420238745552,5.9836173971888,7.616032095991341
2.0,12,16,upstream,perimeter,10,0.13539548020501452,0.11452516914950951,0.28483472972250656,0.28483472972250656
2.0,12,16,split,interior,170,0.36236317456856887,0.3176624319064078,0.717762301323191,1.9582714166468456
2.0,12,16,split,roottip,30,1.7648649125761926,0.9183475149982827,6.230641846433242,7.947786792814938
2.0,12,16,split,perimeter,10,0.29551954106984063,0.2231810889305385,0.6060997273292728,0.6060997273292728
