i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
21,4032,3841,-0.6067425000000002,2,1,2,1,5665,5761,1.089025,-0.5911850000000002,1.3809394137023142e-7,1.12014,-0.6223000000000001,1.3809394137023142e-7,0.1056667953813686,0.10566679538136897,0.9887714886199258,0.10585351879455962,0.10585351879456,-0.9887315435028963,22,21,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,2.138161129944812,4.152709643747222,-2.0145485138024104
22,4224,4033,-0.5756275000000002,2,1,2,1,5569,5665,1.05791,-0.5600700000000001,1.3809394137023142e-7,1.089025,-0.5911850000000002,1.3809394137023142e-7,0.10566679538136832,0.10566679538136795,0.9887714886199259,0.10585351879455937,0.105853518794559,-0.9887315435028964,23,22,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,2.695127044709339,4.708199583970329,-2.0130725392609894
23,4416,4225,-0.5445125000000001,2,1,2,1,5473,5569,1.026795,-0.5289550000000001,1.3809394137023142e-7,1.05791,-0.5600700000000001,1.3809394137023142e-7,0.10566679538136844,0.10566679538136844,0.9887714886199257,0.10585351879455948,0.10585351879455948,-0.9887315435028963,24,23,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,3.2546138766182584,5.264823931149416,-2.0102100545311576
24,4608,4417,-0.5133975000000001,2,1,2,1,5377,5473,0.9956799999999999,-0.49784000000000006,1.3809394137023142e-7,1.026795,-0.5289550000000001,1.3809394137023142e-7,0.10566679538136038,0.10566679538136038,0.9887714886199275,0.10585351879455951,0.10585351879455951,-0.9887315435028963,25,24,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985605,3.8164488068658016,5.822508960897911,-2.006060154032109
25,4800,4609,-0.48228250000000006,2,1,2,1,5281,5377,0.9645649999999998,-0.46672500000000006,1.3809394137023142e-7,0.9956799999999999,-0.49784000000000006,1.3809394137023142e-7,0.10566679538136843,0.1056667953813688,0.9887714886199257,0.1058535187945514,0.10585351879455178,-0.9887315435028979,26,25,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985578,4.3805105826829775,6.381208214273524,-2.0006976315905467
26,4992,4801,-0.45116750000000005,2,1,2,1,5185,5281,0.9334499999999999,-0.43561,1.3809394137023142e-7,0.9645649999999998,-0.46672500000000006,1.3809394137023142e-7,0.10566679538136056,0.10566679538136,0.9887714886199275,0.10585351879455943,0.10585351879455887,-0.9887315435028965,27,26,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985607,4.946709331224004,6.940886332193958,-1.9941770009699535
27,5184,4993,-0.4200525,2,1,2,1,5089,5185,0.9023349999999999,-0.404495,1.3809394137023145e-7,0.9334499999999999,-0.43561,1.3809394137023142e-7,0.10566679538136849,0.10566679538136849,0.9887714886199257,0.10585351879455142,0.10585351879455142,-0.988731543502898,28,27,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985583,5.51497154530183,7.5015074201962095,-1.986535874894379
28,5376,5185,-0.3889375,2,1,2,1,4993,5089,0.8712199999999999,-0.37338,1.3809394137023142e-7,0.9023349999999999,-0.404495,1.3809394137023145e-7,0.10566679538135233,0.10566679538135233,0.9887714886199291,0.10585351879455954,0.10585351879455954,-0.9887315435028963,29,28,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985631,6.085227290241091,8.063025223325859,-1.9777979330847675
29,5568,5377,-0.35782249999999993,2,1,2,1,4897,4993,0.8401049999999999,-0.34226499999999993,1.3809394137023145e-7,0.8712199999999999,-0.37338,1.3809394137023142e-7,0.10566679538136059,0.1056667953813604,0.9887714886199275,0.10585351879454352,0.10585351879454334,-0.9887315435028997,30,29,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985611,6.657397025752725,8.625372768909598,-1.967975743156873
30,5760,5569,-0.32670749999999993,2,1,2,1,4801,4897,0.8089899999999999,-0.3111499999999999,1.3809394137023142e-7,0.8401049999999999,-0.34226499999999993,1.3809394137023145e-7,0.10566679538135233,0.10566679538135233,0.9887714886199291,0.10585351879455143,0.10585351879455143,-0.988731543502898,31,30,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985638,7.231375169972415,9.188448939572405,-1.9570737695999902
